y,x1,x2,x3
-186,0,20,5
-239,-17,16,1
-172,-20,9,7
-48,-6,4,9
-38,12,11,4
-167,-13,14,17
-221,-17,15,5
7,5,4,9
-53,-1,7,9
-132,-2,14,7
74,16,2,5
48,2,0,17
-123,7,17,4
-114,0,15,16
-30,12,11,8
-181,-19,12,15
-60,-12,1,3
33,11,4,7
-266,-16,19,0
-26,20,14,5
-7,11,10,17
-76,20,20,10
26,8,2,1
10,2,4,18
81,11,0,11
-204,-10,19,16
-235,-15,17,3
72,14,4,19
-10,20,13,8
-71,-11,2,0
-109,-17,5,11
75,17,4,13
-64,12,16,16
-58,14,15,9
-27,9,10,12
52,10,2,9
-167,-1,17,2
72,16,3,9
-83,-3,9,9
-1,-1,4,20
98,18,3,17
-55,3,9,8
-6,18,10,0
-142,-8,14,17
15,5,2,3
-40,20,17,13
-241,-17,20,20
-284,-20,19,1
-195,-19,14,18
-76,4,13,15
-68,14,16,9
-146,4,20,15
-31,1,5,5
31,-1,0,16
-86,-4,11,20
21,1,0,6
-75,3,12,13
-220,-20,15,13
94,18,2,10
-152,-14,11,12
-198,-4,19,4
-39,1,6,6
46,10,1,1
1,3,4,11
-196,0,20,0
-40,0,6,8
-172,-6,16,7
-150,-18,10,18
93,11,0,17
-25,-1,4,8
-26,12,13,20
-105,-19,3,8
71,19,3,1
-18,2,5,9
-127,-15,8,12
104,20,0,0
-50,10,13,13
-56,-4,5,5
-156,-6,14,5
-67,11,14,7
33,5,1,7
-8,10,8,9
-116,6,18,15
122,20,2,19
-31,-11,2,20
-161,-15,12,15
-17,15,12,12
-165,-3,17,8
-202,-8,17,2
16,12,6,6
-130,-14,7,3
-19,17,13,11
70,16,5,18
-141,-15,8,5
-72,20,20,12
-32,-10,2,17
33,15,5,2
67,17,4,9
-64,-10,4,11
12,6,3,4
-160,-4,17,13
-157,1,17,2
-107,9,19,17
-63,-17,2,19
-128,-8,13,19
-124,8,19,11
-119,3,15,6
-38,2,7,9
28,18,9,12
-127,11,19,2
-176,-14,13,10
-98,4,14,9
-185,-19,10,3
23,17,7,2
-27,5,7,7
-149,-19,6,1
-99,-1,12,11
-21,17,13,10
-201,-9,20,20
-31,5,9,15
-26,12,10,5
-244,-14,20,11
-30,-6,3,13
-255,-15,20,8
107,19,2,14
-158,-18,10,14
-172,-10,14,7
-132,4,17,7
-124,0,14,6
-98,10,17,9
-34,2,7,11
-249,-15,19,6
-8,-4,2,14
-115,-3,13,13
-141,-3,15,10
-241,-13,20,10
14,2,1,5
50,6,2,18
-208,-16,14,4
-138,2,17,9
-38,-6,3,9
-15,3,4,3
-59,5,12,16
7,11,6,4
-102,12,19,12
-96,-16,6,20
-77,15,19,17
-45,11,13,13
0,12,7,3
-164,-12,13,11
52,4,0,14
-35,19,17,18
-45,1,8,13
-119,7,19,16
-234,-14,17,1
-204,-14,17,16
-139,1,15,1
-71,-11,6,20
65,19,6,13
-50,16,15,8
57,19,7,14
34,4,3,20
-223,-13,17,4
-42,16,13,2
-26,14,12,10
-41,3,8,10
-165,-5,16,8
-54,8,13,16
-63,-7,4,4
-123,1,15,9
39,17,8,15
-190,-20,11,8
-106,-6,8,0
-102,12,20,17
-8,8,7,9
-16,12,12,20
-27,-9,2,17
41,7,3,16
-80,-12,3,3
109,17,1,15
-146,-14,11,15
19,-3,0,15
-213,-19,16,19
-129,3,16,6
13,15,9,12
-11,5,4,0
-231,-7,20,0
-231,-17,16,5
45,9,3,13
-49,17,15,6
-118,4,16,9
33,19,8,7
-141,-13,8,0
17,15,7,4
-82,0,11,12
-105,-17,4,8
-42,20,16,7
-191,-13,13,0
1,11,9,16
-79,-15,3,11
-180,-8,17,13
-79,1,9,1
-188,-4,19,9
-29,-5,4,16
-166,-6,17,15
-21,7,6,0
-56,6,11,10
-72,18,17,2
-116,-18,4,5
-160,-14,10,3
94,18,3,15
-46,-2,6,10
-37,1,6,7
-203,-17,14,9
-148,-8,14,14
-49,-1,7,11
-54,-2,6,6
-79,-5,8,11
71,17,2,1
-17,3,5,7
-113,5,17,14
70,18,5,13
-108,6,16,9
-75,-11,6,18
-110,12,20,13
87,15,1,9
-86,16,17,0
8,4,2,2
-102,-18,3,7
-47,11,11,2
-123,3,17,14
-254,-20,17,6
-27,5,6,2
-105,9,19,18
-67,1,8,2
-133,-17,8,14
-91,1,12,10
-158,-10,15,19
